spotify_id,title,artist,album,release_date,popularity,0
6lhbNVBwdO5ir2suQW9hPP,Saans To Le Le,"Badshah, Rico",Khandaani Shafakhana,2019-07-26,9.0,
3SiQsAVS3CDJQzWPRyX1XP,Sanak,"Badshah, Lakhwinder Wadali, Lucky Noor",3:00 AM Sessions,2023-02-07,54.0,
68JpawMBtW8PCxZEzg15FJ,Bas Ke Bahar,Badshah,3:00 AM Sessions,2023-02-07,31.0,
3BApUOeS8cihFTyoMKQTVk,Tabahi,Badshah,Tabahi,2022-03-08,49.0,
25jISSHAd4q2CVTsO7EHJM,Jawaab,Badshah,Jawaab,2023-11-17,32.0,
4YLPaOnQhrs1xTG1o1XaJd,Aithe Rakh,"Badshah, Sikander Kahlon",The Power Of Dreams Of A Kid,2020-08-07,24.0,
080bjWE3zWsP0DVJzr85ej,Interstellar,Badshah,Interstellar,2019-10-25,32.0,
7Kj2LjwzJFygTn24TFulwK,Chamkeela Chehra,Badshah,Retropanda - Part 1,2022-03-14,39.0,
0gzu5mm36VJH2Zqu8sQPTf,Genda Phool,"Badshah, Payal Dev",Genda Phool (feat. Payal Dev),2020-03-26,63.0,
6LvHrLiW1z8PS7MIAiufKg,Bad Boy x Bad Girl,"Badshah, Nikhita Gandhi",Bad Boy X Bad Girl (feat. Nikhita Gandhi),2021-09-17,55.0,
4toBFhkIjRvPcAJIk98d58,Nasha,"Badshah, Chakshu Kotwal, Afsana Khan","Nasha (From ""Sukhee"")",2023-09-13,37.0,
7Leg0jYdxn3rRtQgwG6lyR,Heartless (feat. Aastha Gill),"Badshah, Aastha Gill",ONE (Original Never Ends),2018-08-17,51.0,
5BEzTXSg4GyjwXTQyCFxdf,Fast Cars,Badshah,3:00 AM Sessions,2023-02-07,30.0,
1MyctJdsWFTwkSGXsBJ7QA,Call Waiting,Badshah,ONE (Original Never Ends),2018-08-17,19.0,
1OQT3ZhZoyyANmi78FOYzR,Aashiq Awaara,"Badshah, Sunidhi Chauhan",ONE (Original Never Ends),2018-08-17,31.0,
5sCpVUzPJVYe9Nqg2l0cYy,Paani Paani,"Badshah, Aastha Gill, Vansh Vijan",Paani Paani 2.0,2025-03-27,25.0,
1L3Nsi7YXtBxTdnbqektia,Hawa Banke,Darshan Raval,Hawa Banke,2019-07-18,67.0,
3FbZoPzEaUBOD84l1FwFEH,Mujhe Peene Do,Darshan Raval,Mujhe Peene Do,2020-10-29,68.0,
0Jiaz0O4AqnJICa9PxHhaR,Mahiye Jinna Sohna,Darshan Raval,Dard,2023-08-09,68.0,
7pmY8QjqZP8GRV6qBRpheu,Bhula Dunga,Darshan Raval,Bhula Dunga,2020-03-24,55.0,
7doebiokA0utWXWcw7rD82,Baarishon Mein,Darshan Raval,Baarishon Mein,2022-07-08,51.0,
3YLgvuHhHlfEAIR5JSPOZM,Lo Aayi Barsaat,Darshan Raval,Dard,2023-08-09,46.0,
0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,Darshan Raval,Asal Mein,2020-02-18,73.0,
4ymPEyiXabTe1NO8q8EFxG,Chogada,"Darshan Raval, Asees Kaur, Lijo George-Dj Chetas","Chogada (From ""Loveyatri"")",2018-08-14,64.0,
7glqjOAauUoPmOXp2Ovpcf,Tu Mileya,Darshan Raval,Tu Mileya,2023-04-12,58.0,
00ifzzUnDbVVdwGLAzm9Fo,PIYA RE,Darshan Raval,Piya Re,2023-02-09,50.0,
32IjXlRFxNtJ4eMhKAUrSX,Kaash Aisa Hota,Darshan Raval,Kaash Aisa Hota,2019-03-21,61.0,
5DUDLaokWUsRbU8XLuQM2y,Yaara Teri Yaari,Darshan Raval,Four More Shots Please! (Original Series Soundtrack),2019-01-28,52.0,
1TVGIzxrXAmuhZnOn2vIC1,Tera Zikr,Darshan Raval,Hits Of Darshan Raval (Blue Family),2023-06-05,63.0,
7oUCpKXbK5PdNB0ytPOSqH,Rabba Mehar kari,Darshan Raval,Rabba Mehar Kari,2021-02-18,57.0,
64r6z0P3RnhpTGdkA7p5Os,Ek Tarfa,Darshan Raval,Ek Tarfa,2020-07-16,65.0,
5uEUquIoH9DKG68fO6OZl8,Aa Jaana,"Darshan Raval, Prakriti Kakar",Aa Jaana,2019-12-24,38.0,
34ppgPuSUgKIqUIBT26ulf,Saari Ki Saari,"Darshan Raval, Asees Kaur",Saari Ki Saari 2.0,2020-04-28,48.0,
6cbBOeiUb9Llq2emEUVBlY,Bhula Diya,Darshan Raval,Bhula Diya,2019-02-07,51.0,
3kSYKolWOj0yZMWFqwcCBs,Do Din,Darshan Raval,Do Din,2018-09-09,43.0,
2pMxbraRawZbFCOfWH2uHZ,Maa,Darshan Raval,Madh Ma Malke Mari Maa,2025-03-27,1.0,
34ppgPuSUgKIqUIBT26ulf,Saari Ki Saari 2.0,"Darshan Raval, Asees Kaur",Saari Ki Saari 2.0,2020-04-28,48.0,
6Oq4lIhSSYdA6WuXU9sPeG,Baarish Lete Aana,Darshan Raval,Baarish Lete Aana,2018-07-18,56.0,
1OjjMsdBWWszjERnKeJbfd,Dil Mera Blast,Darshan Raval,Dil Mera Blast,2019-09-05,45.0,
3PBOmHjLtrPcc6GU3jWu0v,Kinni Soni,Darshan Raval,Out of Control,2024-10-18,47.0,
5NFwj5wQ6QyAXB2NjFIIyG,Tum Mere,Darshan Raval,Tum Mere,2022-10-18,41.0,
4vsLebwJWt4Nl9Hqk6AHgv,Main Kisi Aur Ka,Darshan Raval,Judaiyaan,2020-11-09,38.0,
2KrrAi2smn5Fa7sy7TxrKg,Nayan,"Dhvani Bhanushali, Jubin Nautiyal, Manoj Muntashir",Nayan,2020-12-08,58.0,
2aptOyR4LjSWwKwLFvNPAt,Laila (Notebook),"Dhvani Bhanushali, Vishal Mishra","Laila (From ""Notebook"")",2019-03-07,39.0,
68iBMrMRc1rg4eAxJbvxch,Leja Re,"Tanishk Bagchi, Dhvani Bhanushali, Rashmi Virag",Leja Re,2018-11-24,59.0,
0fcnEPWBnqHKqKsR4JXjAS,Bekhayali (Acoustic) [Dhvani Bhanushali Version],"Dhvani Bhanushali, Sachet-Parampara","Bekhayali Acoustic - Dhvani Bhanushali Version (From ""T-Series Acoustics"")",2019-07-19,45.0,
0mJTAdmY8olbGQjopDYff3,Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste,2019-04-06,64.0,
2GD8vxlR7YIgx2ko3Ntv2f,Thank You God,"Dhvani Bhanushali, Shloke Lal, David Arkwright",Thank You God,2024-03-27,49.0,
2aptOyR4LjSWwKwLFvNPAt,Laila (From ”Notebook”),"Dhvani Bhanushali, Vishal Mishra","Laila (From ""Notebook"")",2019-03-07,39.0,
5u1B3XG0RtFHCaTON42z4W,Na Ja Tu,"Dhvani Bhanushali, Shashwat Singh, Tanishk Bagchi",Na Ja Tu,2020-01-11,33.0,
672zT7O2KYhgVZTst3lPxf,Mehendi,"Dhvani Bhanushali, Vishal Dadlani",Mehendi,2021-09-20,43.0,
0nzQkZeOij7U6OvxAY8FJl,Jeetenge Hum,"Dhvani Bhanushali, Manoj Muntashir, Dj Chetas, Lijo George",Jeetenge Hum,2020-05-02,23.0,
5se72G7mD8ZN6EyQX96K0K,Leja Re (From ”Leja Re”),Dhvani Bhanushali,Bollywood Love Songs - Valentine's Day Special,2019-02-12,13.0,
2aptOyR4LjSWwKwLFvNPAt,Laila,"Dhvani Bhanushali, Vishal Mishra","Laila (From ""Notebook"")",2019-03-07,39.0,
7Adr22HC5I1grpm6fobnB3,Main Teri Hoon (From ”Main Teri Hoon”),Dhvani Bhanushali,Best Of Dhvani Bhanushali,2020-07-06,9.0,
2QfqjwOrH5LbrRtQ8icJpy,Radha,"Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani",Radha,2021-03-22,42.0,
0KgVhchAlkHPXJpUxheYz4,Loser,Dino James,Loser,2016-11-17,42.0,
3tk8HxgVr639ZvvZAZsy44,GIRLFRIEND,Dino James,Girlfriend,2018-12-27,43.0,
5rPxUfL95aPWk3mkwrOkME,Unstoppable,Dino James,Unstoppable,2018-05-21,53.0,
0dzEHIW5dVzZySCt8XdpPX,Hancock,Dino James,Hancock,2018-08-11,47.0,
017fUL7m0b6zTIV1N9gnTX,Yaadein,Dino James,Yaadein,2017-09-07,46.0,
3xppgNwnZPlAPttrWLzr1s,Thanks A Lot,Dino James,Thanks a lot,2017-12-29,37.0,
6nKwGvCCfZKOZarzansTTM,Tandav,"Dino James, Girish Nakod",Tandav,2019-10-28,43.0,
07OTnfIWckr7oRuS7fWQif,Dhundhla,Dino James,D,2022-05-24,45.0,
4nKc9yiwXWlEByq1oMfHU6,Dooriyan,"Dino James, Kaprila",Dooriyan (feat. Kaprila),2020-01-13,57.0,
04RbsA8rn5ockEGyqSu2OB,Mirage,Dino James,Mirage,2020-07-28,40.0,
4TtQbYGJWqPvagFlNZD4QA,Bin Bulaye,Dino James,Bin Bulaye,2021-11-24,35.0,
